behavior_id,user_id,product_id,categoryId,behavior_type,create_time,date,year,month,day,hour
1,1,2333346,2520771,pv,1511561733,2017-11-24,2017,11,24,23
2,1,2576651,149192,pv,1511572885,2017-11-25,2017,11,25,2
3,1,3830808,4181361,pv,1511593493,2017-11-25,2017,11,25,8
4,1,4365585,2520377,pv,1511596146,2017-11-25,2017,11,25,8
5,1,4606018,2735466,pv,1511616481,2017-11-25,2017,11,25,14
6,1,230380,411153,pv,1511644942,2017-11-25,2017,11,25,22
7,1,3827899,2920476,pv,1511713473,2017-11-26,2017,11,26,17
8,1,3745169,2891509,pv,1511725471,2017-11-26,2017,11,26,20
9,1,1531036,2920476,pv,1511733732,2017-11-26,2017,11,26,23
10,1,2266567,4145813,pv,1511741471,2017-11-27,2017,11,27,1
11,1,2951368,1080785,pv,1511750828,2017-11-27,2017,11,27,3
12,1,3108797,2355072,pv,1511758881,2017-11-27,2017,11,27,6
13,1,1338525,149192,pv,1511773214,2017-11-27,2017,11,27,10
14,1,2286574,2465336,pv,1511797167,2017-11-27,2017,11,27,16
15,1,5002615,2520377,pv,1511839385,2017-11-28,2017,11,28,4
16,1,2734026,4145813,pv,1511842184,2017-11-28,2017,11,28,5
17,1,5002615,2520377,pv,1511844273,2017-11-28,2017,11,28,5
18,1,3239041,2355072,pv,1511855664,2017-11-28,2017,11,28,8
19,1,4615417,4145813,pv,1511870864,2017-11-28,2017,11,28,13
20,1,4152983,2355072,pv,1511871096,2017-11-28,2017,11,28,13
21,1,266784,2520771,pv,1511884553,2017-11-28,2017,11,28,16
22,1,46259,149192,pv,1511892772,2017-11-28,2017,11,28,19
23,1,266784,2520771,pv,1511909676,2017-11-28,2017,11,28,23
24,1,4092065,2355072,pv,1511910242,2017-11-29,2017,11,29,0
25,1,1305059,2520771,pv,1511911930,2017-11-29,2017,11,29,0
26,1,2791761,2355072,pv,1511914689,2017-11-29,2017,11,29,1
27,1,3239041,2355072,pv,1511939239,2017-11-29,2017,11,29,8
28,1,46259,149192,pv,1511940971,2017-11-29,2017,11,29,8
29,1,4973305,2520771,pv,1511969365,2017-11-29,2017,11,29,16
30,1,2087357,2131531,pv,1511975142,2017-11-29,2017,11,29,18
31,1,3157558,2520771,pv,1511984943,2017-11-29,2017,11,29,20
32,1,2087357,2131531,pv,1512004568,2017-11-30,2017,11,30,2
33,1,4170517,149192,pv,1512011019,2017-11-30,2017,11,30,4
34,1,1340922,4690421,pv,1512041260,2017-11-30,2017,11,30,12
35,1,3911125,982926,pv,1512044958,2017-11-30,2017,11,30,13
36,1,4170517,149192,pv,1512049438,2017-11-30,2017,11,30,14
37,1,3682069,4690421,pv,1512059832,2017-11-30,2017,11,30,17
38,1,4954999,411153,pv,1512061318,2017-11-30,2017,11,30,18
